id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
19-18954,1,0,1,1637703493,13673256,19
19-18955,22,0,22,1637797808,13680174,19
19-18956,24,0,24,1637874961,13685784,19
20-18955,2,0,2,1637797808,13680174,20
20-18956,12,0,12,1637874928,13685781,20
20-18957,23,0,23,1637965827,13692394,20
20-18958,47,0,47,1638044802,13698171,20
21-18957,15,5,20,1637966373,13692432,21
21-18958,18,17,35,1638044999,13698182,21
21-18959,19,17,36,1638134040,13704668,21
21-18960,21,19,51,1638153752,13706088,21
2-18866,5,0,5,1630104614,13110245,2
2-18867,7,0,7,1630176310,13115607,2
2-18868,9,0,9,1630197024,13117159,2
2-18869,12,0,12,1630291252,13124223,2
22-18958,7,10,27,1638045887,13698255,22
22-18959,9,13,32,1638134537,13704700,22
22-18960,13,14,37,1638226110,13711278,22
22-18961,30,14,54,1638244038,13712576,22
23-18963,13,0,13,1638463853,13728491,23
23-18964,25,0,25,1638574632,13736525,23
23-18965,27,0,27,1638628845,13740364,23
23-18966,39,0,39,1638678392,13743917,23
24-18965,0,12,12,1638647013,13741651,24
24-18966,0,14,14,1638703472,13745787,24
24-18967,8,28,36,1638823414,13754439,24
25-18965,13,0,13,1638655879,13742307,25
25-18966,13,0,13,1638703863,13745820,25
25-18967,28,0,28,1638826299,13754654,25
26-18966,0,0,0,1638707988,13746136,26
26-18967,15,0,15,1638826397,13754665,26
26-18968,19,0,19,1638916084,13761174,26
26-18969,32,0,32,1638931793,13762288,26
27-18969,15,0,15,1638996481,13766971,27
27-18970,20,0,20,1639070382,13772327,27
27-18971,34,0,34,1639151607,13778325,27
28-18976,18,2,20,1639598950,13811808,28
28-18977,19,2,21,1639670479,13817143,28
28-18978,35,2,37,1639774381,13824877,28
29-18988,27,0,27,1640642379,13889842,29
29-18989,32,0,32,1640725788,13896084,29
29-18990,47,0,47,1640813640,13902691,29
29-18991,56,0,56,1640878939,13907527,29
