txnHash,source,value
0x5eda24e955e340ca2022fdf374bcbd7a7e689cdd68c172a5329b739412ae190a,"['dvpc', 'transfer']","[nan, '1322983047602205360128']"
0x5fa4ac6ab35ffdab7c572dcf3fd6599f14e147c889fec356f0dd6e1e7658b6c4,"['dvpc', 'transfer']","[nan, '50000000000000000000000']"
0x6028e90a4d68ff7e7e13ee02621028868548dcce1b944c9648a2db7b31fba3d9,"['dvpc', 'transfer']","[nan, '500000000000000000000000']"
0x6038cc191396d639285968b7dd30bad4d8e3e093dca36c48451f49de45e58711,"['dvpc', 'transfer']","[nan, '4000000000000000000000']"
0x60b1bbc0ddb24f463087c0206445acdd0a5c5d95f793d10e677c84815db871bb,"['dvpc', 'transfer']","[nan, '102521907473892138558263']"
0x6138f43736ff7529b794d40a1ae42ac0a418ecc304fec02c91f19a5c6fb52e70,"['dvpc', 'transfer']","[nan, '1098458904109589041095891']"
0x6553978298aa1e7958675fe78403de8832461d25eb5848db404267f6591aaabd,"['dvpc', 'transfer']","[nan, '275506047455579737121']"
0x669cf7185263aa7e7a58ff62fc858370cfa69ccb60c8fcefd932362d9dd59077,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '506307890409427648413653', '506307890409427648413653']"
0x676f3b4d31813df94d191b4d88c55f5a2222b6dde129cf60a6ff95ff71869e02,"['dvpc', 'transfer']","[nan, '150000000000000000000000']"
0x6862286d62de14031b8edecc5504dfb2b3e1c5f5530738596d9cc5a804251c0f,"['dvpc', 'transfer']","[nan, '76144723490613901572805']"
0x688e53510c4666cf56d1e008f174bed220fb0c6f2dedc8c8f3051737462a5fe2,"['dvpc', 'transfer']","[nan, '195427116962091855306328']"
0x69c2d8fc46bf371a197a066b66efe6252940679a51dd0ab1987c4a1dc4a7ef96,"['dvpc', 'transfer']","[nan, '86111420419758273595988']"
0x6a87a0f2323752ae617329472dd075f01621b45ddfe227443c9b9a7c7b0f9a85,"['dvpc', 'transfer']","[nan, '304240370000000000000000']"
0x6b36bad9d6ee1698101eb2dbea9fd304424d53df7f6dd518d243e2d1426829a2,"['dvpc', 'transfer']","[nan, '152776705976261858386678']"
0x6b4a294c07374320b7eb0f918a27ce3295a4f668193585025a4bc8eb9d2517ec,"['dvpc', 'transfer']","[nan, '268040000000000000000000']"
0x6b55a472325dea8415e429fd5e3b4d2dd6cfbdbf253295fd5bc85ee13c31a513,"['dvpc', 'transfer']","[nan, '27370396185633490709074']"
0x6b8a5eb3ff13a9a0535c3cecbb274dcb5d91c02c25b0ed06fe22c7e2c513fb31,"['dvpc', 'transfer']","[nan, '250000000000000000000000']"
0x6c0fe417cf76ee839e3b356a6efcbaf78e4624c5927d68cde03841653754444e,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x6d9f1e18e226dbfab14983f174e7add4128417a5856eedb24834aec32d53af2c,"['dvpc', 'transfer']","[nan, '50000000000000000000000']"
0x6e359fad12cbe944aaa098c0fdf07a0098d59cf0535e73e032b6a02696417d27,"['dvpc', 'transfer']","[nan, '2200000000000000000000000']"
0x6ed422202fa89095ddbbefed5c852ae3b7a7b86bc648d5dad801e015c702c88c,"['dvpc', 'transfer']","[nan, '165597426206308795962751']"
0x6ee8ea25d1859963765aefb2ee168fef13cf287723f656f19e75fee2bbaef379,"['dvpc', 'transfer']","[nan, '254320669457215357471']"
0x6f7448bed967a1cb8841c333a8686c313e59732149a72ce5f015a82eb085827a,"['dvpc', 'transfer']","[nan, '1000000000000000000']"
0x70c694571f9150e88eecede34e3e8d080becc947e96856b23751ab494af6c612,"['dvpc', 'transfer']","[nan, '36792674654122802851245']"
0x72fc25f4570953d8b26d664b273d7e0e90b5e4efd11415a4a6f39267812be0db,"['dvpc', 'transfer']","[nan, '500000000000000000000000']"
0x730223c5da6bc7878f10817b5a83b60bcd80d5188ede8ad7153ebf2b2d53e826,"['dvpc', 'transfer']","[nan, '5402790461694571283612380']"
0x7333311e268036b73df302f45e55f7957fe307e76e0dbb340e70660f636cf71f,"['dvpc', 'transfer']","[nan, '68509575752275925988254']"
0x73e7ae87eac14b05a67f4329160a6c6deafb97b87ed1f6650a2a64416b9c001f,"['dvpc', 'transfer']","[nan, '638032196008794182310164']"
0x73fd13302147bf81fe3574f0b0117db8508de57d7ba350b2f488c9acb5dd3aec,"['dvpc', 'dvpc', 'dvpc', 'dvpc', 'transfer', 'transfer', 'transfer', 'transfer']","[nan, nan, nan, nan, '190171906977282757336418', '190171906977282757336418', '190171906977282757336418', '190171906977282757336418']"
0x74d192f077b2eadae54e2318e1fa98ae4ea389caab6cb6d7a02cf5ba749b2c2b,"['dvpc', 'transfer']","[nan, '86912552156769141771438']"
0x74f7524a2da531c042f5224f4f4007be73f9db295b489f7d3c595f6f2e364405,"['dvpc', 'transfer']","[nan, '144888868966466819648']"
0x75aa7f475f85a11c937ccdf36b434905b5474b743b5274b6834a71537e8d628b,"['dvpc', 'transfer']","[nan, '112976711493252959811005']"
